Original_Index,Name,Longitude,Latitude,Daily_Pickup_Totes,Weekly_Dropoff_Totes,user_ratings_total,category,rating,weekly_high,weekly_low,best_weekly_estimate,Address,geometry,Adoption,Adoption Guess,Visited ,Influence,location_type,pickup_type,id,Capacity,Cumulative_Distance,Truck_Load
0,Moody Gardens,-94.8523,29.2736,0,0,,,,,,,,,,,,,depot,Truck,,0,0,0
255,Gino's Italian Restaurant and Pizzeria,-94.832217,29.2753139,1,1,1056.0,restaurant,4.3,35,5,35,"6124 Stewart Road, Galveston",POINT (-94.832217 29.2753139),Skeptical,Med,Yes,Low,indoor,Truck,,1,0,1
425,Gino's Italian Restaurant and Pizzeria,-94.832217,29.2753139,1,1,1056.0,restaurant,4.3,35,5,35,"6124 Stewart Road, Galveston",POINT (-94.832217 29.2753139),Skeptical,Med,Yes,Low,indoor,Truck,,-1,0,0
254,Gypsy Joynt,-94.83164758,29.27417239,2,1,622.0,restaurant,4.5,2000,1400,2000,"6105 Stewart Rd Galveston, TX 77551",POINT (-94.8316475822502 29.2741723877485),TBD,Med,Yes,Med,indoor,Truck,,2,0,2
424,Gypsy Joynt,-94.83164758,29.27417239,2,1,622.0,restaurant,4.5,2000,1400,2000,"6105 Stewart Rd Galveston, TX 77551",POINT (-94.8316475822502 29.2741723877485),TBD,Med,Yes,Med,indoor,Truck,,-1,0,1
423,Café Canela,-94.8308258,29.2744235,1,1,412.0,restaurant,4.6,350,50,350,"6105 Stewart Road Suite C, Galveston",POINT (-94.8308258 29.2744235),Skeptical,Med,Yes,Low,indoor,Truck,,-1,0,0
253,Café Canela,-94.8308258,29.2744235,1,1,412.0,restaurant,4.6,350,50,350,"6105 Stewart Road Suite C, Galveston",POINT (-94.8308258 29.2744235),Skeptical,Med,Yes,Low,indoor,Truck,,1,0,1
422,Taco Cabana,-94.82903,29.27079,2,1,109.0,restaurant,2.0,2800,400,2800,"2729 61st St. Galveston, TX 77551",POINT (-94.82903 29.27079),Opp,Med,No,Low,indoor,Truck,,-1,0,0
252,,-94.8308675247102,29.27466850361676,1,0,,,,,,,,,,,,,outdoor,Truck,2019.0,1,0,1
420,Seawall Bar,-94.8086836,29.2769262,2,1,7.0,bar,4.9,0,0,750,"4302 Seawall Boulevard, Galveston (Tru Hotel)",POINT (-94.8086836 29.2769262),Skeptical,Med,No,Low,indoor,Truck,,-1,0,0
251,,-94.82860688351526,29.27008306635599,1,0,,,,,,,,,,,,,outdoor,Truck,2018.0,1,0,1
419,Redfish Pool Bar,-94.8037861,29.2798569,1,1,7.0,bar,2.9,,,140.625,"3788 Seawall Boulevard, Galveston",POINT (-94.8037861 29.2798569),Skeptical,Med,No,High,indoor,Truck,,-1,0,0
250,Taco Cabana,-94.82903,29.27079,2,1,109.0,restaurant,2.0,2800,400,2800,"2729 61st St. Galveston, TX 77551",POINT (-94.82903 29.27079),Opp,Med,No,Low,indoor,Truck,,2,0,2
418,The Spot,-94.7980051,29.2836047,1,1,12914.0,bar,4.3,,,468.75,"3204 Seawall Boulevard, Galveston",POINT (-94.7980051 29.2836047),Skeptical,Med,Yes,High,indoor,Truck,,-1,0,1
417,Squeeze,-94.7980425,29.2837569,1,1,35.0,bar,3.5,,,140.625,"3204 Seawall Boulevard c, Galveston (spot)",POINT (-94.7980425 29.2837569),Skeptical,Med,No,High,indoor,Truck,,-1,0,0
249,,-94.82198101001254,29.275166318239137,1,0,,,,,,,,,,,,,outdoor,Truck,2009.0,1,0,1
416,Under the Bun,-94.7981611,29.2836927,1,1,6.0,restaurant,4.8,,,93.75,"3202 Seawall Boulevard, Galveston (SPOT)",POINT (-94.7981611 29.2836927),Skeptical,Med,No,High,indoor,Truck,,-1,0,0
248,Papa's Pizza,-94.80952,29.2765,5,4,475.0,restaurant,4.0,3000,500,3000,"4400 Seawall Blvd Galveston, TX 77550",POINT (-94.80952 29.2765),Skeptical,Med,Yes,High,indoor,Truck,,5,0,5
421,Papa's Pizza,-94.80952,29.2765,5,4,475.0,restaurant,4.0,3000,500,3000,"4400 Seawall Blvd Galveston, TX 77550",POINT (-94.80952 29.2765),Skeptical,Med,Yes,High,indoor,Truck,,-4,0,1
415,Drip,-94.7981973,29.2836623,1,1,2.0,bar,5.0,1500,150,1500,"3204 Seawall Boulevard, Galveston",POINT (-94.7981973 29.2836623),Skeptical,Med,No,High,indoor,Truck,,-1,0,0
247,Seawall Bar,-94.8086836,29.2769262,2,1,7.0,bar,4.9,0,0,750,"4302 Seawall Boulevard, Galveston (Tru Hotel)",POINT (-94.8086836 29.2769262),Skeptical,Med,No,Low,indoor,Truck,,2,0,2
414,Queen's Bar-B-Que,-94.8011997,29.2834997,2,1,1311.0,restaurant,4.3,700,100,700,"3428 Avenue S, Galveston",POINT (-94.8011997 29.2834997),Skeptical,Med,No,Low,indoor,Truck,,-1,0,1
413,Joe's Crab Shack,-94.8014962,29.2815703,1,1,4371.0,restaurant,3.8,245,35,245,"3502 Seawall Boulevard, Galveston",POINT (-94.8014962 29.2815703),Skeptical,Med,No,High,indoor,Truck,,-1,0,0
246,,-94.8082561071602,29.27677205068795,1,0,,,,,,,,,,,,,outdoor,Truck,3009.0,1,0,1
412,The Gumbo Diner,-94.8018983,29.2811811,1,1,3842.0,restaurant,4.4,350,50,350,"3602 Seawall Boulevard, Galveston",POINT (-94.8018983 29.2811811),Skeptical,Med,No,High,indoor,Truck,,-1,0,0
